,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,5,pensais,thought
5,6,aide,help
6,7,genre,kind
7,8,mois,month
8,9,frère,brother
9,10,laisser,let
10,11,mettre,to put
11,12,aucun,no
12,13,laisse,leash
13,14,eux,them
14,15,ville,city
15,16,chaque,each
16,17,parlé,speak
17,19,bébé,baby
18,20,longtemps,long time
19,21,heures,hours
20,22,vont,will
21,23,pendant,while
22,24,revoir,meet again
23,25,aucune,any
24,26,parle,speak
25,27,compris,understood
26,29,étaient,were
27,30,attention,Warning
28,31,voici,here is
29,32,pourrais,could
30,33,affaire,case
31,34,donner,give
32,37,donné,given
33,38,train,train
34,39,corps,body
35,40,endroit,place
36,42,façon,way
37,43,écoute,listen
38,44,dont,whose
39,45,trouve,find
40,46,premier,first
41,47,perdu,lost
42,48,main,hand
43,50,côté,side
44,52,sois,be
45,54,matin,morning
46,55,tellement,so much
47,56,enfant,child
48,57,point,point
49,58,venu,came
50,59,suite,after
51,60,pardon,sorry
52,61,venez,come
53,62,devant,in front of
54,64,minutes,minutes
55,65,demandé,request
56,66,chambre,bedroom
57,67,mis,placed
58,68,belle,beautiful
59,69,droit,law
60,70,aimerais,would like to
61,71,aujourd'hui,today
62,72,mari,husband
63,73,cause,cause
64,74,espère,hope
65,75,eau,water
66,76,attendez,Wait
67,78,nouvelle,new
68,79,boulot,job
69,80,arrêter,Stop
70,81,dirait,would say
71,82,terre,Earth
72,83,compte,account
73,84,donne,given
74,85,loin,far
75,86,fin,end
76,87,croire,believe
77,88,gros,large
78,90,aura,will have
79,91,filles,girls
80,92,jouer,to play
